item_id,order_id,product_id,quantity,unit_price,discount_percent
I000113,O00045,P0134,5,27437.15,20.43
I000114,O00045,P0131,2,36208.53,28.55
I000115,O00046,P0007,1,46304.14,19.33
I000116,O00046,P0470,4,23980.48,17.58
I000117,O00047,P0266,2,52585.17,4.97
I000118,O00048,P0130,3,30138.68,16.0
I000119,O00048,P0454,4,35247.57,22.02
I000120,O00048,P0386,1,6734.59,17.18
I000121,O00048,P0409,3,48890.84,8.07
I000122,O00049,P0477,4,42000.74,0.19
I000123,O00049,P0087,4,294.4,2.1
I000124,O00050,P0269,4,39340.37,21.99
I000125,O00050,P0088,2,22604.15,21.12
I000126,O00050,P0102,4,11082.66,28.45
I000127,O00050,P0231,5,48899.35,5.57
I000128,O00051,P0384,2,48588.88,5.76
I000129,O00052,P0226,5,6729.89,19.09
I000130,O00052,P0041,3,5325.28,3.74
I000131,O00052,P0033,3,1974.07,7.04
I000132,O00052,P0249,1,768.49,7.98
I000133,O00053,P0341,5,47394.59,1.26
I000134,O00054,P0268,1,22664.82,15.6
I000135,O00054,P0493,3,55941.28,14.2
I000136,O00055,P0310,4,20325.7,20.46
I000137,O00055,P0176,3,49047.46,28.23
I000138,O00055,P0341,4,22830.45,1.72
I000139,O00056,P0448,3,48414.96,0.09
I000140,O00056,P0446,4,43568.17,26.64
I000141,O00056,P0072,1,36194.17,26.07
I000142,O00057,P0487,2,22232.11,18.55
I000143,O00057,P0338,4,30991.86,19.81
I000144,O00057,P0002,3,1194.49,10.81
I000145,O00058,P0497,3,40740.18,7.01
I000146,O00059,P0205,5,47678.83,10.45
I000147,O00059,P0481,4,59214.91,25.71
I000148,O00059,P0464,1,44109.81,8.82
I000149,O00059,P0100,2,52217.55,26.29
I000150,O00060,P0066,4,47849.88,9.04
I000151,O00061,P0087,4,57312.06,14.47
I000152,O00061,P0277,2,14752.69,5.11
I000153,O00061,P0484,1,6507.09,29.8
I000154,O00061,P0015,2,55754.41,9.8
I000155,O00062,P0393,3,13378.49,7.73
I000156,O00062,P0244,1,39995.49,27.68
I000157,O00062,P0325,4,5608.42,20.75
I000158,O00062,P0447,-2,55920.44,22.99
I000159,O00063,P0330,3,22745.22,21.52
I000160,O00064,P0335,5,57981.63,13.11
I000161,O00064,P0120,2,15693.82,8.73
I000162,O00064,P0058,1,20546.22,17.77
I000163,O00064,P0097,1,34455.77,3.82
I000164,O00065,P0489,4,34699.63,0.05
I000165,O00065,P0032,5,32229.06,25.41
I000166,O00065,P0217,3,46322.6,23.93
I000167,O00066,P0267,5,35528.4,3.2
I000168,O00066,P0005,5,51171.25,9.48
I000169,O00067,P0429,2,30089.99,13.67
I000170,O00067,P0308,3,8923.07,19.96
I000171,O00067,P0411,1,36013.04,9.27
I000172,O00068,P0141,-5,28801.31,24.86
I000173,O00069,P0150,4,3716.99,24.31
I000174,O00069,P0079,2,50914.58,28.03
I000175,O00069,P0116,1,55404.84,23.28
I000176,O00069,P0439,4,43698.25,8.97
I000177,O00070,P0012,5,23658.68,12.67
I000178,O00070,P0243,3,45511.31,11.73
I000179,O00071,P0145,2,42126.3,16.44
I000180,O00071,P0050,2,19540.43,23.74
I000181,O00071,P0444,1,51018.62,21.29
I000182,O00072,P0336,2,34714.01,13.26
I000183,O00072,P0248,3,53853.64,6.29
I000184,O00072,P0412,2,44172.07,0.27
I000185,O00072,P0372,5,6296.48,23.56
I000186,O00073,P0193,4,40830.83,5.05
I000187,O00073,P0029,1,21463.91,14.22
I000188,O00074,P0061,5,39075.85,17.8
I000189,O00075,P0322,4,14851.06,3.56
I000190,O00075,P0204,4,18300.84,17.88
I000191,O00076,P0335,4,46595.82,29.73
I000192,O00076,P0344,1,46708.3,25.95
I000193,O00077,P0141,4,22165.92,3.6
I000194,O00077,P0043,1,29455.26,20.06
I000195,O00077,P0261,2,1577.0,17.19
I000196,O00077,P0294,-4,16568.74,22.36
I000197,O00078,P0197,4,59997.26,21.08
I000198,O00078,P0153,5,7689.14,9.76
I000199,O00079,P0208,1,23749.03,24.52
I000200,O00079,P0402,5,29416.08,15.57
I000201,O00080,P0386,2,57947.73,26.93
I000202,O00081,P0442,5,41773.91,0.16
I000203,O00081,P0229,3,7558.11,3.86
I000204,O00082,P0335,2,5451.69,7.7
I000205,O00082,P0386,1,5259.7,3.74
I000206,O00083,P0187,5,10461.87,29.31
I000207,O00083,P0337,1,15050.56,1.38
I000208,O00083,P0485,5,54296.25,8.8
I000209,O00084,P0072,5,29528.48,9.39
I000210,O00084,P0467,3,36449.09,15.32
I000211,O00084,P0353,1,39824.5,1.34
I000212,O00084,P0019,2,8671.71,25.68
I000213,O00085,P0491,2,36208.23,6.48
I000214,O00085,P0184,3,7883.83,18.67
I000215,O00086,P0282,3,15788.33,19.49
I000216,O00087,P0205,4,5178.59,7.63
I000217,O00087,P0218,2,32247.08,2.12
I000218,O00088,P0325,2,42923.81,16.91
I000219,O00088,P0332,-5,36375.69,12.59
I000220,O00088,P0079,3,59548.45,13.01
I000221,O00089,P0494,5,15000.36,8.1
I000222,O00090,P0351,5,24525.52,9.88
I000223,O00091,P0186,3,46728.64,4.39
I000224,O00092,P0141,1,6057.22,29.38
I000225,O00092,P0114,4,57116.62,23.48
I000226,O00093,P0090,5,43753.98,9.2
I000227,O00094,P0049,5,21064.23,17.16
I000228,O00094,P0145,5,16409.03,2.97
I000229,O00094,P0025,2,19216.18,22.56
I000230,O00094,P0093,-3,48403.88,20.33
I000231,O00095,P0245,5,7828.82,0.28
I000232,O00095,P0263,2,39522.26,4.28
I000233,O00095,P0291,3,3361.3,21.76
I000234,O00095,P0499,3,42508.64,7.47
I000235,O00096,P0362,4,11149.65,29.59
I000236,O00096,P0409,4,30233.31,8.27
I000237,O00096,P0220,5,56512.29,26.44
I000238,O00096,P0417,2,18450.21,25.74
I000239,O00097,P0209,3,50745.69,19.04
I000240,O00097,P0040,2,56703.04,4.95
I000241,O00097,P0030,1,44655.89,16.62
I000242,O00098,P0414,1,57737.55,12.72
I000243,O00098,P0261,2,28883.43,15.45
I000244,O00098,P0347,5,41933.34,12.16
I000245,O00098,P0316,2,54671.01,22.38
I000246,O00099,P0360,5,45030.14,7.33
I000247,O00099,P0379,5,41107.87,1.27
I000248,O00099,P0230,2,40536.43,26.46
I000249,O00099,P0269,2,10653.89,11.01
I000250,O00100,P0264,3,57158.52,12.68
I000251,O00100,P0195,2,22522.37,3.4
I000252,O00101,P0426,5,51076.47,25.73
I000253,O00101,P0149,3,29090.86,7.94
I000254,O00102,P0378,5,23738.56,27.69
I000255,O00103,P0479,4,53571.14,25.45
I000256,O00104,P0183,1,37008.71,9.86
I000257,O00105,P0055,1,21113.36,21.67
I000258,O00105,P0206,3,730.05,12.92
I000259,O00105,P0102,1,31839.97,26.96
I000260,O00106,P0064,4,613.25,23.08
I000261,O00106,P0129,2,28347.78,11.23
I000262,O00106,P0187,-4,53553.16,16.09
I000263,O00106,P0138,1,59364.28,19.69
I000264,O00107,P0083,2,21353.52,13.02
I000265,O00107,P0184,2,6817.81,8.55
I000266,O00107,P0069,4,25379.14,9.94
I000267,O00107,P0017,2,40039.05,28.45
I000268,O00108,P0061,4,29446.26,14.87
I000269,O00108,P0350,2,19628.28,22.93
I000270,O00108,P0452,4,30211.14,27.71
I000271,O00109,P0068,1,57469.18,23.78
I000272,O00109,P0065,2,20778.41,0.41
I000273,O00109,P0351,2,3311.98,24.9
I000274,O00109,P0220,5,44298.41,13.03
I000275,O00110,P0145,4,5140.37,12.87
I000276,O00110,P0317,2,43809.06,5.61
I000277,O00110,P0144,1,51877.17,29.83
I000278,O00111,P0342,4,12065.07,21.19
I000279,O00111,P0415,1,42128.47,15.07
I000280,O00112,P0097,5,37808.69,4.46
I000281,O00112,P0062,2,24196.73,8.22
I000282,O00113,P0476,2,25692.92,18.49
I000283,O00113,P0047,1,22945.09,15.75
I000284,O00114,P0114,3,25679.34,1.84
I000285,O00114,P0219,1,18396.54,8.08
I000286,O00115,P0483,3,42752.82,7.41
I000287,O00115,P0459,1,11068.75,0.02
I000288,O00115,P0339,3,12876.26,14.16
I000289,O00116,P0221,2,15285.33,14.74
I000290,O00117,P0156,1,5993.86,0.41
I000291,O00117,P0283,2,20006.46,22.24
I000292,O00117,P0186,5,31825.95,11.15
I000293,O00118,P0108,5,23166.15,26.62
I000294,O00118,P0067,5,7397.19,17.6
I000295,O00118,P0468,2,11737.06,13.37
I000296,O00119,P0039,5,37216.82,9.04
I000297,O00120,P0390,2,32106.74,4.61
I000298,O00120,P0066,2,25209.11,21.35
I000299,O00120,P0457,5,58512.54,26.85
I000300,O00120,P0230,1,54668.78,2.03
I000301,O00121,P0269,5,47494.93,5.01
I000302,O00121,P0141,2,17521.45,28.67
I000303,O00121,P0032,2,44494.77,11.92
I000304,O00121,P0351,5,52241.29,29.15
I000305,O00122,P0225,5,23172.2,23.38
I000306,O00122,P0206,5,16435.35,5.52
I000307,O00123,P0293,2,35608.34,0.27
I000308,O00123,P0476,5,27435.37,21.23
I000309,O00124,P0156,2,17922.55,8.06
I000310,O00124,P0061,2,13590.98,16.01
I000311,O00124,P0150,1,38449.0,28.26
I000312,O00125,P0475,2,16372.0,23.72
I000313,O00125,P0329,2,59374.27,6.3
I000314,O00125,P0060,1,38989.0,18.98
I000315,O00126,P0167,1,56796.38,26.52
I000316,O00126,P0136,2,24618.9,18.34
I000317,O00126,P0167,1,37632.13,0.31
I000318,O00127,P0113,3,10768.77,29.15
I000319,O00127,P0276,5,6565.28,22.37
I000320,O00127,P0196,3,52227.54,19.03
I000321,O00128,P0419,4,13394.21,8.06
I000322,O00128,P0298,4,9507.36,6.95
I000323,O00129,P0189,2,54149.65,2.81
I000324,O00129,P0093,4,11264.68,25.87
I000325,O00129,P0097,5,29533.0,21.88
I000326,O00129,P0332,3,1458.63,4.89
I000327,O00130,P0419,4,41304.54,5.64
I000328,O00130,P0074,1,25698.42,13.65
I000329,O00131,P0052,5,8410.02,22.51
I000330,O00131,P0007,5,6163.85,11.52
I000331,O00131,P0057,1,45854.06,19.33
I000332,O00131,P0023,2,15050.91,2.51
I000333,O00132,P0481,5,1007.11,28.99
I000334,O00132,P0491,1,32633.74,24.55
I000335,O00133,P0104,2,28929.44,16.89
I000336,O00134,P0418,2,18581.62,14.37
I000337,O00134,P0125,1,32702.88,8.02
I000338,O00134,P0279,1,1468.23,1.34
I000339,O00134,P0279,3,6333.45,26.59
I000340,O00135,P0073,1,54747.58,0.72
I000341,O00135,P0219,4,9013.12,19.66
I000342,O00135,P0116,4,41268.62,21.45
I000343,O00135,P0462,1,29610.87,29.72
I000344,O00136,P0053,3,21567.01,18.47
I000345,O00136,P0061,3,55414.51,27.6
I000346,O00137,P0310,2,10848.45,15.91
I000347,O00138,P0348,4,9183.16,20.02
I000348,O00138,P0155,5,49090.24,10.45
I000349,O00139,P0139,4,39771.56,27.99
I000350,O00140,P0404,1,51730.5,29.34
I000351,O00141,P0164,2,23557.85,21.64
I000352,O00141,P0403,4,48916.06,3.39
I000353,O00142,P0492,3,8851.14,9.69
I000354,O00142,P0066,2,46098.62,10.58
I000355,O00142,P0254,4,28981.06,29.19
I000356,O00142,P0309,3,8465.63,28.32
I000357,O00143,P0197,4,33050.49,16.16
I000358,O00143,P0253,5,32265.51,6.9
I000359,O00144,P0298,4,31711.37,23.3
I000360,O00145,P0360,1,14264.55,0.09
I000361,O00145,P0436,1,21871.43,14.22
I000362,O00146,P0472,1,3762.73,10.48
I000363,O00146,P0435,2,17822.9,4.32
I000364,O00147,P0125,2,49703.74,1.68
I000365,O00147,P0071,1,57730.71,21.12
I000366,O00147,P0194,1,41828.13,12.74
I000367,O00147,P0028,1,39832.29,2.21
I000368,O00148,P0016,2,22041.6,2.37
I000369,O00148,P0040,1,34237.15,24.41
I000370,O00149,P0392,2,28291.93,4.2
I000371,O00149,P0271,3,28317.03,21.68
I000372,O00150,P0401,1,17348.79,4.68
I000373,O00150,P0452,1,36329.58,5.21
I000374,O00150,P0083,1,23904.16,12.71
I000375,O00150,P0486,4,33338.52,24.89
I000376,O00151,P0364,2,25535.48,4.7
I000377,O00151,P0499,1,31385.76,29.34
I000378,O00151,P0065,2,24144.06,1.68
I000379,O00152,P0095,-5,36383.99,2.32
I000380,O00152,P0355,4,28749.49,19.58
I000381,O00152,P0208,4,10056.5,24.1
I000382,O00152,P0332,4,11844.89,3.25
I000383,O00153,P0186,5,46772.08,10.06
I000384,O00154,P0145,2,32585.76,1.96
I000385,O00154,P0306,1,45439.98,9.27
I000386,O00155,P0327,1,14572.04,2.55
I000387,O00155,P0292,5,2883.5,29.59
I000388,O00156,P0024,1,19011.9,28.31
I000389,O00156,P0005,3,45150.43,28.76
I000390,O00156,P0257,2,19005.45,11.72
I000391,O00156,P0183,2,42218.88,2.92
I000392,O00157,P0460,5,6239.97,24.22
I000393,O00157,P0077,1,35313.1,11.46
I000394,O00157,P0301,1,17549.14,4.55
I000395,O00157,P0238,1,53135.19,2.8
I000396,O00158,P0453,2,48487.07,19.63
I000397,O00158,P0394,2,59606.31,15.05
I000398,O00159,P0230,2,20473.44,10.81
I000399,O00159,P0439,4,2592.77,21.38
I000400,O00159,P0350,4,14498.82,29.91
I000401,O00160,P0491,2,34100.67,29.83
I000402,O00161,P0413,1,8728.83,26.11
I000403,O00162,P0256,1,27397.51,5.09
I000404,O00163,P0083,1,16951.02,10.9
I000405,O00163,P0046,1,10915.34,23.16
I000406,O00163,P0133,4,58713.33,22.89
I000407,O00164,P0333,2,56401.8,29.15
I000408,O00164,P0250,1,21935.63,8.6
I000409,O00164,P0210,5,55044.98,3.87
I000410,O00164,P0188,5,50721.17,28.56
I000411,O00165,P0043,4,30455.36,7.88
I000412,O00165,P0449,1,37312.7,19.32
I000413,O00165,P0380,2,42044.77,16.82
I000414,O00166,P0437,1,17581.5,4.75
I000415,O00166,P0205,1,13538.47,26.22
I000416,O00167,P0179,4,28215.62,16.05
I000417,O00168,P0056,1,10980.35,3.25
I000418,O00168,P0492,4,46139.36,5.98
I000419,O00168,P0169,1,19173.63,29.89
I000420,O00168,P0249,2,42196.99,14.29
I000421,O00169,P0233,1,32795.86,28.46
I000422,O00169,P0075,2,19347.16,0.94
I000423,O00169,P0308,4,3931.54,24.26
I000424,O00170,P0243,2,3433.84,26.04
I000425,O00170,P0488,4,16336.92,19.07
I000426,O00170,P0043,2,4341.69,12.15
I000427,O00170,P0153,4,52303.09,15.74
I000428,O00171,P0095,-1,5727.99,27.05
I000429,O00171,P0176,3,10039.09,10.48
I000430,O00171,P0215,4,28634.87,20.66
I000431,O00172,P0495,4,21410.6,20.79
I000432,O00172,P0200,1,33742.32,26.81
I000433,O00173,P0040,5,37067.44,9.71
I000434,O00173,P0422,3,1048.37,26.9
I000435,O00174,P0256,3,6993.69,29.1
I000436,O00174,P0209,3,31337.36,0.11
I000437,O00175,P0483,2,38130.72,19.17
I000438,O00175,P0297,1,2381.86,22.37
I000439,O00175,P0097,4,41847.48,23.23
I000440,O00175,P0308,4,13125.01,6.29
I000441,O00176,P0498,5,57315.25,11.11
I000442,O00176,P0187,1,18256.28,9.21
I000443,O00177,P0359,4,39004.92,13.68
I000444,O00178,P0181,3,49725.51,12.78
I000445,O00178,P0499,3,6980.12,5.27
I000446,O00178,P0220,3,10778.33,17.85
I000447,O00178,P0278,4,23017.49,25.35
I000448,O00179,P0325,3,42185.14,28.14
I000449,O00179,P0464,1,59722.72,24.18
I000450,O00179,P0054,1,39047.55,18.49
I000451,O00179,P0211,1,29885.01,22.55
I000452,O00180,P0325,4,30301.02,24.18
I000453,O00181,P0437,4,12869.89,23.31
I000454,O00181,P0283,4,7047.17,25.69
I000455,O00181,P0487,1,21166.7,23.81
I000456,O00182,P0212,4,654.79,11.24
I000457,O00182,P0115,5,17159.54,26.39
I000458,O00182,P0136,3,50341.35,23.85
I000459,O00182,P0213,2,448.62,27.27
I000460,O00183,P0008,1,9371.85,11.23
I000461,O00184,P0172,2,57557.8,29.78
I000462,O00184,P0124,5,58414.72,5.78
I000463,O00184,P0330,-4,49747.28,24.04
I000464,O00185,P0066,4,58645.87,5.21
I000465,O00185,P0463,3,31133.17,13.12
I000466,O00185,P0051,2,30354.57,18.94
I000467,O00185,P0402,4,50613.24,18.82
I000468,O00186,P0429,5,9711.38,9.67
I000469,O00186,P0048,1,1733.29,0.35
I000470,O00186,P0395,5,9352.31,18.54
I000471,O00187,P0293,4,1712.33,22.03
I000472,O00188,P0325,3,11356.0,19.58
I000473,O00188,P0114,3,11790.97,25.21
I000474,O00188,P0372,4,46269.42,19.78
I000475,O00188,P0141,1,56111.56,18.82
I000476,O00189,P0057,4,55646.5,3.68
I000477,O00190,P0145,3,53697.37,2.78
I000478,O00190,P0254,3,54780.6,6.24
I000479,O00191,P0252,1,24941.96,14.6
I000480,O00192,P0108,4,22640.21,9.41
I000481,O00193,P0414,2,10952.42,0.3
I000482,O00193,P0092,5,37946.56,25.64
I000483,O00193,P0061,3,59625.63,14.52
I000484,O00193,P0315,5,32879.67,4.75
I000485,O00194,P0475,1,11732.15,0.89
I000486,O00194,P0012,5,30802.33,4.57
I000487,O00194,P0444,3,7064.35,6.51
I000488,O00195,P0071,2,5189.88,20.75
I000489,O00195,P0065,3,16565.26,5.98
I000490,O00195,P0048,3,42543.4,19.56
I000491,O00196,P0382,4,26276.51,28.39
I000492,O00196,P0473,2,15155.57,5.94
I000493,O00196,P0434,3,57719.9,3.09
I000494,O00196,P0407,5,18832.79,23.82
I000495,O00197,P0222,4,25539.49,22.41
I000496,O00197,P0418,3,37450.08,18.22
I000497,O00197,P0220,2,34115.09,11.22
I000498,O00197,P0324,1,27074.32,26.68
I000499,O00198,P0301,4,17749.72,24.8
I000500,O00198,P0331,5,21264.75,0.9
I000501,O00198,P0093,-3,25877.33,5.58
I000502,O00199,P0038,2,39485.89,11.16
I000503,O00199,P0400,3,7513.76,9.56
I000504,O00200,P0368,3,12983.59,17.02
I000505,O00201,P0461,2,33786.11,11.57
I000506,O00201,P0309,2,31730.29,3.09
I000507,O00201,P0143,5,56787.01,24.22
I000508,O00202,P0294,4,40991.49,13.06
I000509,O00203,P0102,2,3169.65,14.82
I000510,O00203,P0024,3,25389.99,3.72
I000511,O00203,P0088,5,19747.11,11.49
I000512,O00204,P0146,1,38691.26,25.68
I000513,O00205,P0467,4,17205.08,25.25
I000514,O00206,P0019,5,55098.46,1.17
I000515,O00206,P0331,1,4353.36,2.85
I000516,O00206,P0411,4,43450.57,8.24
I000517,O00206,P0386,3,24140.59,16.69
I000518,O00207,P0253,5,3014.95,8.95
I000519,O00207,P0233,4,50950.6,29.01
I000520,O00207,P0063,3,56274.68,3.08
I000521,O00208,P0025,1,8496.32,29.81
I000522,O00208,P0442,4,13735.21,2.64
I000523,O00209,P0418,5,59375.99,28.02
I000524,O00209,P0445,1,15729.32,23.55
I000525,O00209,P0057,1,56839.26,2.25
I000526,O00210,P0353,5,47539.34,11.39
I000527,O00210,P0358,2,55506.53,17.5
I000528,O00210,P0062,2,19296.09,4.44
I000529,O00211,P0327,4,40160.47,15.65
I000530,O00211,P0124,5,28780.02,14.7
I000531,O00211,P0144,3,46404.11,14.48
I000532,O00211,P0048,3,46018.88,21.34
I000533,O00212,P0286,2,39636.95,22.06
I000534,O00212,P0106,1,4693.64,14.84
I000535,O00212,P0109,1,40295.84,14.04
I000536,O00213,P0097,4,6451.18,6.26
I000537,O00213,P0303,5,30932.85,9.4
I000538,O00213,P0484,3,42569.04,19.66
I000539,O00213,P0435,5,6518.5,3.9
I000540,O00214,P0198,4,52097.96,15.4
I000541,O00214,P0400,4,11439.62,8.34
I000542,O00214,P0085,3,57099.38,17.32
I000543,O00215,P0076,4,52596.53,22.35
I000544,O00216,P0009,4,11384.38,0.86
I000545,O00216,P0339,5,27267.93,7.97
I000546,O00217,P0182,4,12881.55,11.91
I000547,O00218,P0261,3,3378.79,8.18
I000548,O00218,P0051,1,38987.58,21.96
I000549,O00218,P0217,2,17781.55,12.08
I000550,O00218,P0305,3,31867.85,14.81
I000551,O00219,P0056,1,38851.42,28.77
I000552,O00219,P0113,1,3377.64,1.07
I000553,O00219,P0137,2,4137.67,3.03
I000554,O00219,P0116,5,42030.83,12.14
I000555,O00220,P0052,2,44088.68,26.39
I000556,O00220,P0138,4,12501.18,23.57
I000557,O00220,P0178,3,42410.03,8.64
I000558,O00220,P0002,1,11267.71,27.23
I000559,O00221,P0379,3,51183.32,20.64
I000560,O00221,P0088,3,40950.26,5.0
I000561,O00221,P0171,4,8681.65,0.38
I000562,O00221,P0243,4,20176.44,5.33
I000563,O00222,P0452,1,10409.36,22.81
I000564,O00222,P0005,5,21258.19,14.21
I000565,O00222,P0001,4,52418.47,14.18
I000566,O00223,P0420,1,34122.55,29.71
I000567,O00224,P0269,5,10204.82,4.4
I000568,O00224,P0049,1,18415.22,22.09
I000569,O00225,P0252,3,59389.63,7.72
I000570,O00225,P0250,3,21984.5,0.41
I000571,O00225,P0181,3,42667.4,26.74
I000572,O00225,P0397,5,29164.42,8.1
I000573,O00226,P0076,4,51404.68,19.78
I000574,O00227,P0183,4,2048.1,17.33
I000575,O00227,P0357,4,21693.31,22.33
I000576,O00228,P0472,4,38396.28,28.96
I000577,O00228,P0450,5,53973.44,13.48
I000578,O00229,P0136,3,53302.1,11.73
I000579,O00229,P0214,3,18697.53,1.23
I000580,O00230,P0428,5,7553.08,23.86
I000581,O00230,P0291,3,17446.83,29.08
I000582,O00230,P0256,2,28085.78,4.51
I000583,O00231,P0320,5,39926.36,9.11
I000584,O00231,P0148,1,48027.15,0.47
I000585,O00231,P0021,2,17124.43,17.79
I000586,O00232,P0251,3,504.4,10.57
I000587,O00233,P0026,3,8435.58,26.36
I000588,O00234,P0489,1,42849.19,4.28
I000589,O00234,P0376,2,26036.64,27.55
I000590,O00235,P0113,1,28496.03,10.64
I000591,O00235,P0416,4,25469.28,29.01
I000592,O00235,P0051,3,55227.61,17.91
I000593,O00236,P0289,4,40799.61,9.67
I000594,O00236,P0297,2,41062.61,5.99
I000595,O00237,P0214,5,12131.49,9.15
I000596,O00237,P0153,5,55641.7,13.83
I000597,O00238,P0193,4,5943.33,15.8
I000598,O00238,P0356,3,30328.15,20.55
I000599,O00239,P0240,3,25774.62,12.62
I000600,O00239,P0211,4,1854.84,16.77
I000601,O00239,P0491,4,5488.05,4.22
I000602,O00240,P0403,2,34903.28,11.19
I000603,O00240,P0318,5,54014.76,26.33
I000604,O00240,P0028,4,7730.96,20.1
I000605,O00241,P0414,5,27721.2,1.63
I000606,O00241,P0029,3,49827.68,19.5
