order_id,customer_id,order_date,status,region_code
O00053,C0371,2026-07-23 15:01:26,DELIVERED,WEST
O00054,C0198,2025-04-26 14:15:26,SHIPPED,NORTH
O00055,C0466,2025-09-10 23:46:26,DELIVERED,WEST
O00056,C0091,2025-07-19 01:57:26,DELIVERED,NORTH
O00057,C0247,2026-07-15 09:56:26,DELIVERED,NORTH
O00058,C0190,2026-05-02 23:17:26,CANCELLED,WEST
O00059,C0394,2025-10-07 22:41:26,DELIVERED,NORTH
O00060,C0245,2026-04-26 11:07:26,DELIVERED,NORTH
O00061,C0279,2025-12-03 02:47:26,DELIVERED,SOUTH
O00062,C0405,2025-02-21 05:38:26,PLACED,NORTH
O00063,C0336,2026-08-01 07:15:26,SHIPPED,EAST
O00064,C0080,2026-04-09 17:57:26,DELIVERED,EAST
O00065,C0290,2025-11-10 00:18:26,DELIVERED,EAST
O00066,C0283,2026-03-28 13:17:26,DELIVERED,WEST
O00067,UNKNOWN_CUSTOMER,2025-08-17 18:26:26,DELIVERED,EAST
O00068,C0377,2026-02-03 05:16:26,SHIPPED,NORTH
O00069,C0359,2025-10-08 21:41:26,RETURNED,NORTH
O00070,C0403,2025-09-22 23:16:26,DELIVERED,NORTH
O00071,C0003,2025-07-29 19:31:26,CANCELLED,SOUTH
O00072,C0046,2026-06-13 02:18:26,PLACED,SOUTH
O00073,C0020,2026-03-01 09:29:26,DELIVERED,WEST
O00074,C0494,2026-08-02 16:36:26,DELIVERED,SOUTH
O00075,C0104,2026-07-06 20:51:26,CANCELLED,EAST
O00076,C0307,2025-09-02 08:41:26,DELIVERED,SOUTH
O00077,C0185,2025-08-08 03:53:26,SHIPPED,NORTH
O00078,C0400,2025-07-26 09:08:26,DELIVERED,WEST
O00079,C0266,2026-04-07 01:03:26,PLACED,NORTH
O00080,C0372,2025-05-19 00:09:26,CANCELLED,EAST
O00081,C0311,2026-02-05 15:05:26,RETURNED,WEST
O00082,C0134,2026-04-05 00:51:26,SHIPPED,NORTH
O00083,C0175,2025-04-30 23:09:26,RETURNED,EAST
O00084,C0495,2025-10-30 05:19:26,DELIVERED,WEST
O00085,C0235,2025-10-22 17:40:26,DELIVERED,NORTH
O00086,C0035,2026-06-23 10:07:26,DELIVERED,SOUTH
O00087,C0490,2025-10-08 17:17:26,DELIVERED,NORTH
O00088,C0048,2025-11-11 14:09:26,DELIVERED,EAST
O00089,C0092,2025-05-04 00:50:26,DELIVERED,EAST
O00090,C0094,2025-09-27 01:08:26,RETURNED,SOUTH
O00091,C0121,2026-07-11 06:03:26,DELIVERED,EAST
O00092,C0428,2025-09-14 14:03:26,SHIPPED,EAST
O00093,C0472,2025-07-24 09:58:26,PLACED,WEST
O00094,C0435,2025-02-21 23:53:26,DELIVERED,EAST
O00095,C0141,2026-07-05 01:46:26,DELIVERED,EAST
O00096,C0296,2026-03-29 14:39:26,SHIPPED,WEST
O00097,C0258,2026-06-19 23:53:26,DELIVERED,SOUTH
O00098,C0266,2026-05-29 10:35:26,DELIVERED,NORTH
O00099,C0195,2025-02-28 04:04:26,DELIVERED,EAST
O00100,C0133,2026-02-21 02:46:26,SHIPPED,EAST
O00101,C0491,2025-10-15 15:21:26,DELIVERED,EAST
O00102,C0108,2025-08-22 22:18:26,DELIVERED,EAST
O00103,C0231,2026-02-23 19:08:26,SHIPPED,SOUTH
O00104,C0139,2025-10-07 10:37:26,CANCELLED,WEST
O00105,C0410,2026-03-12 13:00:26,RETURNED,SOUTH
O00106,C0216,2026-06-14 07:02:26,DELIVERED,EAST
O00107,C0288,2026-06-28 16:07:26,CANCELLED,NORTH
O00108,C0084,2026-03-29 10:35:26,PLACED,EAST
O00109,C0231,2026-06-18 02:57:26,DELIVERED,EAST
O00110,C0286,2026-02-19 18:26:26,RETURNED,EAST
O00111,C0063,2026-02-02 07:17:26,DELIVERED,SOUTH
O00112,C0167,2025-08-12 16:13:26,DELIVERED,WEST
O00113,C0315,2026-05-18 09:15:26,DELIVERED,SOUTH
O00114,C0476,2025-08-06 03:42:26,DELIVERED,WEST
O00115,C0176,2025-04-29 09:01:26,SHIPPED,EAST
O00116,C0310,2025-12-11 05:08:26,DELIVERED,EAST
O00117,C0301,2026-05-16 18:38:26,DELIVERED,WEST
O00118,C0438,2026-04-14 12:02:26,PLACED,SOUTH
O00119,C0384,2025-10-31 06:35:26,PLACED,SOUTH
O00120,C0033,2026-03-28 09:57:26,RETURNED,WEST
O00121,C0204,2025-04-11 07:40:26,DELIVERED,NORTH
O00122,C0080,2025-06-01 15:30:26,PLACED,WEST
O00123,C0378,2025-12-28 14:06:26,DELIVERED,SOUTH
O00124,C0088,2025-06-29 23:44:26,PLACED,EAST
O00125,C0500,2026-01-14 22:20:26,CANCELLED,EAST
O00126,C0277,2026-05-16 11:35:26,SHIPPED,WEST
O00127,C0328,2026-05-06 23:31:26,DELIVERED,EAST
O00128,C0413,2026-06-24 00:05:26,PLACED,EAST
O00129,C0080,2026-02-24 20:07:26,DELIVERED,NORTH
O00130,C0147,2026-08-04 11:13:26,DELIVERED,NORTH
O00131,C0005,2026-07-03 22:10:26,DELIVERED,EAST
O00132,C0192,2025-10-09 07:26:26,SHIPPED,WEST
O00133,C0367,2026-03-26 14:01:26,DELIVERED,WEST
O00134,C0041,2026-03-09 14:07:26,DELIVERED,SOUTH
O00135,C0356,2026-07-30 02:42:26,DELIVERED,EAST
O00136,C0437,2025-11-17 20:03:26,PLACED,SOUTH
O00137,C0234,2025-12-08 10:31:26,DELIVERED,EAST
O00138,C0010,2026-07-03 13:11:26,SHIPPED,NORTH
O00139,C0138,2025-08-24 10:09:26,SHIPPED,WEST
O00140,C0078,2025-02-23 13:56:26,PLACED,SOUTH
O00141,C0403,2026-01-31 20:10:26,DELIVERED,EAST
O00142,C0017,2026-06-05 05:41:26,DELIVERED,SOUTH
O00143,C0201,2025-04-13 15:40:26,PLACED,WEST
O00144,C0431,2025-08-19 13:48:26,DELIVERED,WEST
O00145,C0366,2025-02-27 10:40:26,SHIPPED,WEST
O00146,C0102,2025-10-27 05:53:26,DELIVERED,NORTH
O00147,C0243,2026-08-03 04:04:26,DELIVERED,EAST
O00148,C0373,2026-01-11 12:31:26,PLACED,NORTH
O00149,C0153,2025-11-01 22:31:26,SHIPPED,NORTH
O00150,C0325,2025-09-26 10:06:26,DELIVERED,NORTH
O00151,C0062,2025-08-05 15:28:26,DELIVERED,SOUTH
O00152,C0402,2025-02-24 08:28:26,DELIVERED,SOUTH
O00153,C0081,2026-03-02 09:06:26,DELIVERED,EAST
O00154,C0331,2025-04-17 08:13:26,SHIPPED,NORTH
O00155,C0163,2025-06-23 22:05:26,RETURNED,EAST
O00156,C0011,2026-05-11 06:03:26,DELIVERED,EAST
O00157,C0021,2025-07-02 15:48:26,DELIVERED,WEST
O00158,C0251,2025-12-14 00:35:26,SHIPPED,SOUTH
O00159,C0240,2026-02-06 17:37:26,DELIVERED,SOUTH
O00160,C0231,2025-04-26 23:00:26,DELIVERED,EAST
O00161,C0398,2026-02-25 20:51:26,DELIVERED,WEST
O00162,C0439,2025-08-23 07:30:26,DELIVERED,SOUTH
O00163,C0338,2026-01-10 05:55:26,RETURNED,WEST
O00164,C0255,2025-08-28 23:34:26,DELIVERED,SOUTH
O00165,C0329,2025-12-01 17:17:26,DELIVERED,NORTH
O00166,C0023,2026-08-05 03:55:26,CANCELLED,SOUTH
O00167,C0055,2025-08-16 08:03:26,DELIVERED,NORTH
O00168,C0429,2025-03-20 01:32:26,DELIVERED,WEST
O00169,C0114,2025-11-04 08:14:26,DELIVERED,NORTH
O00170,C0252,2025-02-28 13:32:26,RETURNED,NORTH
O00171,C0185,2026-06-10 02:54:26,DELIVERED,WEST
O00172,UNKNOWN_CUSTOMER,2026-02-28 04:54:26,DELIVERED,NORTH
O00173,C0484,2025-04-28 15:55:26,SHIPPED,NORTH
O00174,C0273,2025-05-30 06:05:26,DELIVERED,SOUTH
O00175,C0486,2025-10-28 01:31:26,SHIPPED,WEST
O00176,C0184,2025-06-04 03:27:26,DELIVERED,WEST
O00177,C0093,2025-06-01 12:41:26,DELIVERED,EAST
O00178,C0227,2025-07-27 00:29:26,RETURNED,EAST
O00179,C0392,2026-01-13 18:17:26,DELIVERED,EAST
O00180,C0110,2025-10-20 01:25:26,DELIVERED,EAST
O00181,C0492,2026-02-18 21:19:26,DELIVERED,NORTH
O00182,C0266,2025-12-04 01:52:26,SHIPPED,EAST
O00183,C0110,2025-02-21 16:05:26,CANCELLED,NORTH
O00184,UNKNOWN_CUSTOMER,2025-11-25 00:23:26,DELIVERED,SOUTH
O00185,C0183,2025-05-22 08:20:26,SHIPPED,EAST
O00186,C0120,2026-02-26 01:06:26,DELIVERED,EAST
O00187,C0292,2025-05-21 01:16:26,RETURNED,NORTH
O00188,C0250,2026-01-13 22:02:26,CANCELLED,NORTH
O00189,C0414,2025-12-19 08:37:26,DELIVERED,NORTH
O00190,C0451,2025-04-13 17:13:26,CANCELLED,WEST
O00191,C0335,2025-06-18 14:38:26,CANCELLED,NORTH
O00192,C0269,2026-03-13 08:10:26,PLACED,SOUTH
O00193,C0114,2026-01-15 23:35:26,SHIPPED,WEST
O00194,C0259,2026-05-18 02:27:26,PLACED,WEST
O00195,C0068,2025-12-08 19:00:26,DELIVERED,WEST
O00196,C0135,2025-04-07 00:16:26,PLACED,WEST
O00197,C0287,2025-06-28 11:21:26,SHIPPED,WEST
O00198,C0377,2025-09-04 00:30:26,DELIVERED,SOUTH
O00199,C0221,2025-04-29 15:40:26,DELIVERED,NORTH
O00200,C0217,2025-06-11 04:17:26,DELIVERED,SOUTH
O00201,C0336,2026-01-09 18:29:26,PLACED,EAST
O00202,C0421,2025-08-07 18:30:26,RETURNED,WEST
O00203,C0474,2025-07-14 20:53:26,CANCELLED,SOUTH
O00204,C0373,2026-03-04 11:39:26,CANCELLED,NORTH
O00205,C0475,2025-04-11 14:30:26,SHIPPED,EAST
O00206,C0412,2025-03-01 17:35:26,SHIPPED,WEST
O00207,C0108,2026-06-12 07:12:26,DELIVERED,SOUTH
O00208,UNKNOWN_CUSTOMER,2025-09-12 00:24:26,DELIVERED,WEST
O00209,C0343,2025-07-10 05:35:26,PLACED,NORTH
O00210,C0146,2025-11-03 11:54:26,SHIPPED,EAST
O00211,C0484,2025-04-10 21:32:26,PLACED,WEST
O00212,C0468,2025-11-20 04:45:26,DELIVERED,NORTH
O00213,UNKNOWN_CUSTOMER,2025-03-06 16:46:26,DELIVERED,SOUTH
O00214,C0051,2026-03-11 23:36:26,RETURNED,WEST
O00215,C0257,2025-05-16 12:03:26,RETURNED,NORTH
O00216,C0272,2025-03-27 14:50:26,DELIVERED,WEST
O00217,C0010,2026-03-25 06:01:26,DELIVERED,EAST
O00218,C0121,2026-02-14 03:10:26,RETURNED,EAST
O00219,C0450,2025-04-20 03:07:26,DELIVERED,NORTH
O00220,C0175,2025-11-28 14:00:26,CANCELLED,SOUTH
O00221,C0267,2025-05-16 06:15:26,RETURNED,SOUTH
O00222,C0079,2026-04-18 14:27:26,DELIVERED,EAST
O00223,C0068,2026-01-18 21:25:26,SHIPPED,SOUTH
O00224,UNKNOWN_CUSTOMER,2025-09-10 11:10:26,DELIVERED,SOUTH
O00225,UNKNOWN_CUSTOMER,2026-05-01 11:32:26,DELIVERED,SOUTH
O00226,C0273,2026-01-06 09:26:26,RETURNED,NORTH
O00227,C0451,2025-08-22 17:44:26,SHIPPED,NORTH
O00228,C0156,2026-01-07 20:17:26,DELIVERED,EAST
O00229,C0068,2025-07-20 12:57:26,SHIPPED,EAST
O00230,C0119,2025-10-10 02:05:26,DELIVERED,EAST
O00231,C0245,2025-05-08 05:40:26,SHIPPED,WEST
O00232,C0199,2026-03-04 12:45:26,DELIVERED,SOUTH
O00233,C0017,2025-08-01 13:05:26,DELIVERED,NORTH
O00234,C0381,2025-11-18 20:05:26,DELIVERED,SOUTH
O00235,C0475,2025-09-12 09:02:26,RETURNED,WEST
O00236,C0444,2026-07-02 05:11:26,DELIVERED,SOUTH
O00237,C0022,2026-04-28 19:40:26,DELIVERED,WEST
O00238,C0481,2026-01-01 19:30:26,DELIVERED,NORTH
O00239,C0234,2026-08-02 10:19:26,CANCELLED,NORTH
O00240,C0203,2025-10-24 23:25:26,RETURNED,NORTH
O00241,UNKNOWN_CUSTOMER,2026-03-18 23:39:26,RETURNED,SOUTH
O00242,C0453,2025-12-10 21:16:26,DELIVERED,EAST
O00243,C0151,2026-06-02 12:18:26,DELIVERED,NORTH
O00244,C0425,2026-07-29 11:20:26,DELIVERED,NORTH
O00245,C0399,2026-07-12 10:02:26,DELIVERED,SOUTH
O00246,C0231,2026-03-24 20:11:26,PLACED,WEST
O00247,C0129,2025-09-09 20:56:26,DELIVERED,SOUTH
O00248,C0362,2025-06-21 08:58:26,DELIVERED,EAST
O00249,C0197,2025-05-13 23:36:26,DELIVERED,SOUTH
O00250,C0023,2026-03-10 00:15:26,DELIVERED,EAST
O00251,C0075,2025-07-18 12:46:26,SHIPPED,NORTH
O00252,C0374,2026-04-20 16:10:26,DELIVERED,WEST
O00253,C0061,2025-12-08 03:02:26,CANCELLED,SOUTH
O00254,C0130,2025-02-19 02:39:26,PLACED,WEST
O00255,C0003,2026-07-11 00:42:26,DELIVERED,WEST
O00256,C0338,2025-10-16 13:28:26,DELIVERED,WEST
O00257,C0308,2026-05-13 09:29:26,PLACED,EAST
O00258,C0076,2025-09-15 08:02:26,PLACED,EAST
O00259,C0017,2025-03-24 11:45:26,DELIVERED,EAST
O00260,C0056,2026-01-20 08:54:26,DELIVERED,SOUTH
O00261,C0313,2025-07-31 04:09:26,DELIVERED,SOUTH
O00262,C0185,2026-05-28 06:28:26,RETURNED,NORTH
O00263,C0460,2025-12-18 17:14:26,DELIVERED,NORTH
O00264,C0150,2026-04-28 23:55:26,DELIVERED,NORTH
O00265,C0212,2025-11-23 17:24:26,DELIVERED,SOUTH
O00266,C0374,2025-04-15 10:27:26,RETURNED,NORTH
O00267,C0310,2026-06-26 06:35:26,RETURNED,EAST
O00268,C0163,2026-04-29 02:45:26,DELIVERED,EAST
O00269,C0255,2025-06-28 02:27:26,DELIVERED,WEST
O00270,C0313,2026-07-04 12:47:26,SHIPPED,EAST
O00271,C0013,2025-09-01 06:58:26,DELIVERED,NORTH
O00272,C0212,2025-09-16 02:17:26,PLACED,EAST
O00273,C0104,2025-09-20 07:31:26,DELIVERED,EAST
O00274,C0260,2025-04-25 16:10:26,DELIVERED,NORTH
O00275,UNKNOWN_CUSTOMER,2025-06-12 04:12:26,DELIVERED,NORTH
O00276,C0427,2025-08-13 13:12:26,DELIVERED,WEST
O00277,C0070,2026-06-15 08:32:26,DELIVERED,WEST
O00278,C0417,2026-01-24 21:41:26,DELIVERED,NORTH
O00279,C0372,2026-08-02 16:27:26,DELIVERED,NORTH
O00280,C0170,2025-09-17 01:34:26,DELIVERED,EAST
O00281,C0431,2025-04-23 11:08:26,PLACED,WEST
O00282,C0200,2025-08-04 01:29:26,SHIPPED,NORTH
O00283,C0162,2025-12-28 05:45:26,DELIVERED,EAST
O00284,C0450,2026-04-14 09:22:26,SHIPPED,WEST
O00285,C0155,2025-12-21 13:24:26,SHIPPED,EAST
O00286,C0048,2025-03-25 13:49:26,DELIVERED,NORTH
O00287,C0098,2026-06-24 23:00:26,DELIVERED,WEST
O00288,C0394,2025-12-29 17:00:26,CANCELLED,SOUTH
O00289,C0236,2025-09-14 05:53:26,DELIVERED,NORTH
O00290,C0023,2025-02-19 16:50:26,DELIVERED,NORTH
O00291,C0024,2026-01-22 21:47:26,SHIPPED,EAST
O00292,C0160,2025-03-11 01:39:26,DELIVERED,SOUTH
O00293,C0147,2026-01-09 13:03:26,DELIVERED,EAST
O00294,C0140,2026-05-13 03:58:26,SHIPPED,EAST
O00295,C0287,2025-06-12 07:30:26,DELIVERED,SOUTH
O00296,C0139,2026-02-09 00:11:26,SHIPPED,EAST
O00297,C0160,2025-10-23 11:55:26,DELIVERED,EAST
O00298,C0015,2026-05-15 07:59:26,DELIVERED,NORTH
O00299,C0045,2025-06-03 18:54:26,DELIVERED,SOUTH
O00300,C0160,2026-05-18 02:13:26,DELIVERED,SOUTH
O00301,C0068,2025-05-06 21:27:26,PLACED,WEST
O00302,C0351,2025-05-25 21:10:26,DELIVERED,WEST
O00303,C0074,2026-06-11 14:05:26,CANCELLED,EAST
O00304,C0359,2026-02-22 19:02:26,RETURNED,EAST
O00305,C0016,2026-01-13 21:22:26,PLACED,NORTH
O00306,C0434,2026-02-09 22:20:26,SHIPPED,EAST
O00307,C0208,2025-06-25 22:57:26,CANCELLED,NORTH
O00308,C0037,2026-01-15 00:32:26,DELIVERED,WEST
O00309,C0123,2026-04-02 01:17:26,DELIVERED,SOUTH
O00310,C0175,2026-06-23 18:55:26,SHIPPED,WEST
O00311,C0176,2026-05-07 01:41:26,DELIVERED,SOUTH
O00312,C0040,2025-08-12 04:33:26,DELIVERED,WEST
O00313,C0238,2025-06-13 01:29:26,DELIVERED,NORTH
O00314,UNKNOWN_CUSTOMER,2026-05-16 12:10:26,DELIVERED,NORTH
O00315,C0331,2026-03-10 17:22:26,DELIVERED,NORTH
O00316,C0298,2025-09-25 11:47:26,RETURNED,NORTH
O00317,C0232,2025-07-16 04:00:26,DELIVERED,WEST
O00318,C0349,2026-05-18 13:04:26,CANCELLED,EAST
O00319,C0469,2025-12-23 20:36:26,DELIVERED,NORTH
O00320,C0207,2025-02-24 02:23:26,CANCELLED,EAST
O00321,C0282,2025-04-19 18:48:26,RETURNED,NORTH
O00322,C0145,2026-02-17 10:46:26,CANCELLED,SOUTH
O00323,C0202,2026-05-04 05:28:26,DELIVERED,WEST
O00324,C0280,2026-04-06 19:18:26,SHIPPED,SOUTH
O00325,C0285,2026-06-16 11:03:26,DELIVERED,EAST
O00326,C0447,2026-04-18 11:09:26,DELIVERED,SOUTH
O00327,C0009,2025-02-26 09:32:26,SHIPPED,WEST
O00328,C0071,2026-05-08 10:56:26,DELIVERED,WEST
O00329,C0477,2026-05-28 05:29:26,DELIVERED,SOUTH
O00330,UNKNOWN_CUSTOMER,2026-05-26 23:18:26,CANCELLED,WEST
O00331,C0218,2026-02-13 14:02:26,DELIVERED,WEST
O00332,C0138,2025-10-16 05:23:26,DELIVERED,EAST
O00333,C0248,2025-03-21 08:27:26,DELIVERED,NORTH
O00334,C0073,2026-06-24 04:56:26,DELIVERED,EAST
O00335,C0268,2026-06-06 22:56:26,CANCELLED,NORTH
O00336,C0380,2025-10-24 22:31:26,DELIVERED,NORTH
O00337,C0463,2026-01-01 01:54:26,DELIVERED,NORTH
O00338,C0464,2026-06-10 21:23:26,DELIVERED,EAST
O00339,C0151,2026-04-22 18:42:26,DELIVERED,NORTH
O00340,C0289,2025-12-24 06:41:26,DELIVERED,WEST
O00341,C0337,2025-08-08 00:54:26,RETURNED,NORTH
O00342,C0065,2025-12-05 21:56:26,DELIVERED,EAST
O00343,C0144,2025-10-31 11:30:26,DELIVERED,EAST
O00344,C0310,2025-03-02 05:58:26,SHIPPED,SOUTH
O00345,C0090,2026-05-18 18:42:26,DELIVERED,SOUTH
O00346,C0271,2026-06-26 12:42:26,CANCELLED,EAST
O00347,C0479,2025-05-12 11:29:26,CANCELLED,WEST
O00348,C0339,2026-04-13 19:06:26,DELIVERED,SOUTH
O00349,C0432,2025-09-19 01:37:26,DELIVERED,EAST
O00350,C0238,2025-06-13 08:01:26,DELIVERED,EAST
O00351,C0473,2026-06-18 06:39:26,DELIVERED,WEST
O00352,C0075,2026-03-21 22:07:26,DELIVERED,WEST
O00353,C0409,2025-02-27 16:50:26,DELIVERED,EAST
O00354,C0273,2025-03-29 10:49:26,DELIVERED,WEST
O00355,C0137,2025-11-21 17:08:26,CANCELLED,EAST
O00356,C0346,2026-03-22 21:40:26,DELIVERED,SOUTH
O00357,C0354,2026-08-01 17:34:26,RETURNED,EAST
O00358,C0426,2025-02-26 03:51:26,PLACED,WEST
O00359,C0351,2025-05-26 22:57:26,DELIVERED,SOUTH
O00360,C0018,2025-12-02 15:03:26,PLACED,NORTH
O00361,C0458,2025-04-15 02:33:26,CANCELLED,NORTH
O00362,C0310,2025-06-17 09:45:26,SHIPPED,SOUTH
O00363,C0130,2025-06-09 05:02:26,DELIVERED,NORTH
O00364,C0219,2026-05-25 15:40:26,DELIVERED,EAST
O00365,C0038,2025-11-05 12:40:26,DELIVERED,NORTH
O00366,C0031,2026-03-13 19:12:26,DELIVERED,EAST
O00367,C0252,2025-08-16 20:55:26,RETURNED,SOUTH
O00368,C0252,2026-03-24 12:32:26,SHIPPED,WEST
O00369,C0055,2025-09-27 02:32:26,RETURNED,EAST
O00370,C0037,2025-05-31 07:55:26,DELIVERED,EAST
O00371,C0255,2026-05-17 07:48:26,SHIPPED,NORTH
O00372,C0137,2025-03-26 04:15:26,SHIPPED,EAST
O00373,C0264,2026-03-23 00:51:26,DELIVERED,WEST
O00374,C0433,2026-06-19 20:16:26,DELIVERED,NORTH
O00375,C0489,2025-10-04 07:15:26,DELIVERED,WEST
O00376,C0479,2025-06-20 01:25:26,RETURNED,EAST
O00377,C0324,2025-12-22 18:54:26,RETURNED,NORTH
O00378,C0492,2026-02-25 00:45:26,DELIVERED,WEST
O00379,C0091,2025-12-09 03:03:26,DELIVERED,WEST
O00380,C0200,2025-08-29 16:35:26,CANCELLED,EAST
O00381,C0324,2026-06-28 09:47:26,DELIVERED,SOUTH
O00382,C0013,2025-07-08 08:03:26,DELIVERED,SOUTH
O00383,UNKNOWN_CUSTOMER,2026-06-30 18:55:26,DELIVERED,EAST
O00384,UNKNOWN_CUSTOMER,2026-07-12 00:44:26,DELIVERED,NORTH
O00385,C0173,2025-03-24 16:54:26,DELIVERED,NORTH
O00386,C0414,2026-04-06 10:04:26,DELIVERED,WEST
O00387,C0120,2025-07-18 06:28:26,RETURNED,NORTH
O00388,C0010,2025-07-09 22:32:26,DELIVERED,NORTH
O00389,C0067,2025-10-22 05:32:26,PLACED,NORTH
O00390,C0313,2025-12-26 10:20:26,SHIPPED,NORTH
O00391,C0305,2025-06-03 10:22:26,DELIVERED,SOUTH
O00392,C0173,2025-04-20 13:18:26,CANCELLED,WEST
O00393,C0295,2026-01-13 10:34:26,DELIVERED,EAST
O00394,C0089,2025-09-21 08:28:26,DELIVERED,NORTH
O00395,C0213,2025-11-22 11:39:26,SHIPPED,EAST
O00396,C0474,2025-08-02 21:06:26,DELIVERED,SOUTH
O00397,C0193,2025-05-29 03:30:26,DELIVERED,NORTH
O00398,UNKNOWN_CUSTOMER,2026-06-28 08:51:26,SHIPPED,NORTH
O00399,C0414,2025-12-02 20:35:26,DELIVERED,WEST
O00400,C0328,2025-06-24 13:00:26,DELIVERED,WEST
O00401,C0313,2026-04-12 14:02:26,DELIVERED,SOUTH
O00402,C0322,2026-07-12 01:56:26,CANCELLED,EAST
O00403,C0286,2026-02-06 19:51:26,SHIPPED,NORTH
O00404,C0442,2025-05-24 02:14:26,DELIVERED,SOUTH
O00405,C0107,2026-06-06 03:33:26,DELIVERED,SOUTH
O00406,UNKNOWN_CUSTOMER,2025-06-10 11:34:26,RETURNED,WEST
O00407,C0344,2026-07-09 12:01:26,RETURNED,NORTH
O00408,C0223,2026-02-22 16:04:26,DELIVERED,WEST
O00409,C0027,2025-03-31 10:38:26,RETURNED,SOUTH
O00410,C0264,2025-07-26 07:22:26,SHIPPED,SOUTH
O00411,UNKNOWN_CUSTOMER,2026-05-17 01:28:26,DELIVERED,EAST
O00412,C0117,2025-10-08 10:11:26,PLACED,WEST
O00413,C0113,2025-09-07 19:48:26,PLACED,WEST
O00414,C0111,2025-04-11 20:00:26,RETURNED,WEST
O00415,C0070,2025-08-16 19:14:26,DELIVERED,SOUTH
O00416,C0172,2026-02-17 15:03:26,SHIPPED,NORTH
O00417,C0437,2025-11-29 10:58:26,DELIVERED,WEST
O00418,C0454,2025-08-09 17:05:26,DELIVERED,SOUTH
O00419,C0438,2025-08-09 01:26:26,SHIPPED,WEST
O00420,C0111,2026-08-03 22:46:26,DELIVERED,WEST
O00421,C0220,2025-11-27 07:37:26,DELIVERED,SOUTH
O00422,C0297,2025-10-26 17:18:26,SHIPPED,SOUTH
O00423,C0021,2025-02-20 19:53:26,RETURNED,NORTH
O00424,C0246,2026-04-26 23:16:26,CANCELLED,NORTH
